transcript,XIST_r,XIST_perct,NEAT1_r,NEAT1_perct,Bruseq_stability,total_expression,Xsimi_p0.05,Xsimi_p0.01,Xsimi_p0.001,Nsimi_p0.05,Nsimi_p0.01,Nsimi_p0.001,semi_extract
ABCE1_chr4_145098288_145129524_+_ENSG00000164163.11_ENSG00000164163.11.unspliced,0.04108077,21.9579288,0.115093107,19.8195242,0.237306625,0.434827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABCF1_chr6_30571393_30597179_+_ENSG00000204574.14_ENSG00000204574.14.unspliced,0.066745762,29.69255663,0.234682989,43.21575062,0.323131279,0.355983,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABCF2_chr7_151211484_151227205_-_ENSG00000033050.9_ENSG00000033050.9.unspliced,0.142120918,55.61488673,0.128076873,21.95242002,0.294069496,0.2538765,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABCF3_chr3_184186095_184194012_+_ENSG00000161204.12_ENSG00000161204.12.unspliced,0.028191787,18.44660194,0.216289628,39.36013126,0.479509397,0.143983,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABHD11_chr7_73736094_73738852_-_ENSG00000106077.19_ENSG00000106077.19.unspliced,0.098105065,40.30744337,0.246268748,45.46349467,0.083921165,0.9350765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABHD13_chr13_108218392_108234243_+_ENSG00000139826.6_ENSG00000139826.6.unspliced,-0.058209659,3.025889968,0.270569473,50.38556194,0.283393738,0.26455,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced,0.190281023,70.12944984,0.262839768,48.6464315,0.525373944,0.4454495,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABHD17A_chr19_1876810_1885496_-_ENSG00000129968.17_ENSG00000129968.17.unspliced,0.284762372,89.8381877,0.530420933,89.86054143,0.870398867,1.213045,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABHD18_chr4_127965315_128039953_+_ENSG00000164074.17_ENSG00000164074.17.unspliced,0.12663502,49.91909385,0.129476089,22.19852338,0.439946536,0.1484985,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABHD2_chr15_89087459_89202355_+_ENSG00000140526.18_ENSG00000140526.18.unspliced,0.087520109,36.65048544,0.163725036,28.87612797,0.189434423,0.2040895,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABHD3_chr18_21650901_21704780_-_ENSG00000158201.10_ENSG00000158201.10.unspliced,0.115938489,46.18122977,0.268509409,49.95898277,0.518940498,0.1445505,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABHD5_chr3_43690108_43734371_+_ENSG00000011198.10_ENSG00000011198.10.unspliced,0.064138699,28.802589,0.424705109,76.34126333,0.275461589,0.3909195,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABL1_chr9_130713043_130887675_+_ENSG00000097007.20_ENSG00000097007.20.unspliced,0.256188359,85.67961165,0.396708836,72.05906481,0.356741823,0.440712,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABO_chr9_133233278_133276024_-_ENSG00000175164.16_ENSG00000175164.16.unspliced,0.296549036,91.40776699,0.714795714,99.67186218,0.372036937,0.2820225,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ABT1_chr6_26596953_26600739_+_ENSG00000146109.5_ENSG00000146109.5.unspliced,0.014004403,14.28802589,0.387219876,70.64807219,0.133770537,0.251206,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACAA1_chr3_38103129_38137242_-_ENSG00000060971.19_ENSG00000060971.19.unspliced,0.038384165,21.197411,0.38434294,70.0902379,0.212668858,0.1557855,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ACAA2P1_chrX_48775993_48776970_-_ENSG00000233585.3_ENST00000419045.1.monoexonic.unspliced,-0.072703113,2.200647249,-0.017081732,5.13535685,0.460290943,0.128618,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACA_chr17_37084992_37406836_-_ENSG00000278540.5_ENSG00000278540.5.unspliced,0.233141859,81.44012945,0.269872569,50.2707137,0.431471223,0.2133935,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACAD9_chr3_128879596_128924003_+_ENSG00000177646.20_ENSG00000177646.20.unspliced,0.305476677,92.60517799,0.494433648,85.46349467,0.235453094,0.159461,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACADM_chr1_75724431_75787575_+_ENSG00000117054.15_ENSG00000117054.15.unspliced,0.084437271,35.48543689,0.100162371,17.35849057,0.199856456,0.1489735,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACADVL_chr17_7217125_7225266_+_ENSG00000072778.20_ENSG00000072778.20.unspliced,0.102259094,41.40776699,0.13897517,23.98687449,0.787271088,0.4384155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACAP2-IT1_chr3_195280723_195282741_-_ENSG00000229325.1_ENSG00000229325.1.unspliced,0.036559607,20.87378641,-0.059826699,2.57588187,10.04393698,0.1996905,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACAP3_chr1_1292390_1309609_-_ENSG00000131584.19_ENSG00000131584.19.unspliced,0.243807528,83.41423948,0.526203698,89.46677605,0.501602105,0.3668675,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACAT2_chr6_159762045_159779112_+_ENSG00000120437.9_ENSG00000120437.9.unspliced,0.00306391,11.7961165,0.391994923,71.27153404,0.6153417,0.3334065,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACBD3_chr1_226144679_226186741_-_ENSG00000182827.9_ENSG00000182827.9.unspliced,0.079377539,33.86731392,0.137210915,23.64232978,0.301296326,0.1930205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACBD6_chr1_180269653_180502954_-_ENSG00000230124.8_ENSG00000230124.8.unspliced,0.103722325,41.9579288,0.205195914,36.73502871,0.27479967,0.152885,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACCS_chr11_44065925_44084237_+_ENSG00000110455.14_ENSG00000110455.14.unspliced,0.383459727,97.89644013,0.403253162,73.04347826,0.20950904,0.1935865,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACIN1_chr14_23058564_23095614_-_ENSG00000100813.15_ENSG00000100813.15.unspliced,0.264048019,86.81229773,0.485023124,84.54470878,0.869074429,0.388394,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACLY_chr17_41866917_41930542_-_ENSG00000131473.17_ENSG00000131473.17.unspliced,0.071830106,31.11650485,0.0970386,16.89909762,0.657786876,0.2009535,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACO2_chr22_41447830_41529273_+_ENSG00000100412.17_ENSG00000100412.17.unspliced,0.159902543,61.56957929,0.181580759,32.0754717,0.342597318,0.164693,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACOT13_chr6_24667035_24705065_+_ENSG00000112304.11_ENSG00000112304.11.unspliced,-0.069733914,2.427184466,0.132215155,22.72354389,0.135288144,0.1344915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACP1_chr2_264140_278283_+_ENSG00000143727.16_ENSG00000143727.16.unspliced,0.027901036,18.34951456,0.252604381,46.72682527,0.326332703,0.4334975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACP2_chr11_47239302_47248906_-_ENSG00000134575.13_ENSG00000134575.13.unspliced,0.034250966,20.21035599,0.299283594,55.78342904,0.101363788,0.1314025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACSL3_chr2_222860942_222944639_+_ENSG00000123983.15_ENSG00000123983.15.unspliced,0.173442035,65.46925566,0.587034748,95.19278097,0.492495516,0.195203,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACSL4_chrX_109624244_109733403_-_ENSG00000068366.21_ENSG00000068366.21.unspliced,0.009177635,13.15533981,0.110541532,19.08121411,0.469040586,0.1263075,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACTB_chr7_5526409_5563902_-_ENSG00000075624.17_ENSG00000075624.17.unspliced,0.120023068,47.60517799,0.534005894,90.30352748,0.18126626,0.218394,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACTBP11_chr1_223863726_223864851_-_ENSG00000188460.4_ENST00000436287.1.monoexonic.unspliced,0.122206158,48.33333333,0.091740216,16.30844955,0.744299464,0.257862,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACTG1_chr17_81509413_81523847_-_ENSG00000184009.13_ENSG00000184009.13.unspliced,0.144436911,56.29449838,0.407472551,73.66694011,0.068860076,0.2380275,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACTG1P3_chr20_1160584_1161697_+_ENSG00000215388.3_ENST00000431775.1.monoexonic.unspliced,0.174550231,65.82524272,NA,NA,0,0.288999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACTL6A_chr3_179562886_179588407_+_ENSG00000136518.17_ENSG00000136518.17.unspliced,0.049583447,24.30420712,0.241314995,44.49548811,0.283326927,0.22565,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACTN4_chr19_38647649_38731589_+_ENSG00000130402.14_ENSG00000130402.14.unspliced,0.253881138,85.1618123,0.411764474,74.32321575,0.345264064,0.262149,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ACTR1B_chr2_97655939_97664044_-_ENSG00000115073.8_ENSG00000115073.8.unspliced,0.181726255,67.63754045,0.401604801,72.87940935,0.138700945,0.662652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACTR2_chr2_65227788_65271253_+_ENSG00000138071.15_ENSG00000138071.15.unspliced,0.164384444,62.84789644,0.401081537,72.81378179,0.235629698,0.2172605,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACTR3_chr2_113890063_113962596_+_ENSG00000115091.12_ENSG00000115091.12.unspliced,0.018305997,15.56634304,0.407765988,73.71616079,0.359023351,0.286015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACTR3B_chr7_152759749_152855378_+_ENSG00000133627.18_ENSG00000133627.18.unspliced,0.10116016,41.11650485,0.632130256,97.45693191,0.22319856,0.165781,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACTR5_chr20_38748460_38772520_+_ENSG00000101442.10_ENSG00000101442.10.unspliced,0.110578677,44.0776699,0.180589664,31.86218212,0.403145034,0.215795,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACTR6_chr12_100199122_100241865_+_ENSG00000075089.10_ENSG00000075089.10.unspliced,-0.046622031,4.061488673,0.117114948,20.14766202,0.388262874,0.1619395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACVR2B_chr3_38453890_38493142_+_ENSG00000114739.14_ENSG00000114739.14.unspliced,0.216856149,77.39482201,0.597863807,95.91468417,0.339072498,0.1313075,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ACY1_chr3_51983340_51989197_+_ENSG00000243989.9_ENSG00000243989.9.unspliced,0.027990832,18.36569579,-0.069984507,2.264150943,0.070475079,0.305729,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACYP1_chr14_75053237_75069483_-_ENSG00000119640.9_ENSG00000119640.9.unspliced,0.162177739,62.29773463,0.412494519,74.4216571,0.372168236,0.1763225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAM10_chr15_58588809_58749791_-_ENSG00000137845.15_ENSG00000137845.15.unspliced,0.131470274,51.71521036,0.482800847,84.21657096,0.268620662,0.1359335,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ADAM15_chr1_155050566_155062775_+_ENSG00000143537.14_ENSG00000143537.14.unspliced,0.185270085,68.68932039,0.309435864,57.73584906,0.304337812,0.1758235,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ADAM17_chr2_9488486_9556732_-_ENSG00000151694.15_ENSG00000151694.15.unspliced,0.338097898,95.35598706,0.538190091,90.73010664,0.574237722,0.157468,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMTS14_chr10_70672506_70762441_+_ENSG00000138316.11_ENSG00000138316.11.unspliced,0.364112691,97.02265372,0.691978373,99.37653815,0.197165115,0.545849,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ADAMTS3_chr4_72280969_72569221_-_ENSG00000156140.11_ENSG00000156140.11.unspliced,0.152996757,59.12621359,-0.00199872,6.267432322,0.246523192,0.1972365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ADAMTSL4_chr1_150549369_150560937_+_ENSG00000143382.16_ENSG00000143382.16.unspliced,0.277642051,88.802589,0.390642714,71.05824446,0.249891376,0.9380815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAT2_chr6_143422832_143450695_-_ENSG00000189007.16_ENSG00000189007.16.unspliced,0.174667153,65.88996764,0.199467161,35.68498769,0.184092933,0.8224775,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADCY7_chr16_50246137_50318135_+_ENSG00000121281.13_ENSG00000121281.13.unspliced,0.208503683,75.29126214,0.451291591,80.11484824,0.223705498,0.3292325,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ADGRB3_chr6_68635282_69390571_+_ENSG00000135298.15_ENSG00000135298.15.unspliced,0.241432934,83.10679612,0.280835753,52.35438884,0.740805607,0.1655205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ADGRE5_chr19_14380501_14408725_+_ENSG00000123146.20_ENSG00000123146.20.unspliced,0.286983081,90.19417476,0.489293111,85.00410172,0.237770177,0.2043575,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADGRV1_chr5_90529344_91164437_+_ENSG00000164199.18_ENSG00000164199.18.unspliced,0.167587345,63.86731392,0.196686872,35.09433962,0.279629842,0.2042915,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ADH5_chr4_99070978_99088801_-_ENSG00000197894.12_ENSG00000197894.12.unspliced,0.224053213,79.30420712,0.358305117,65.85726005,0.141923322,0.2483605,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADIPOR1_chr1_202940826_202958572_-_ENSG00000159346.13_ENSG00000159346.13.unspliced,0.198840238,72.57281553,0.307821777,57.52255947,0.215008563,0.3670345,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADIPOR2_chr12_1688574_1788674_+_ENSG00000006831.10_ENSG00000006831.10.unspliced,0.087808001,36.74757282,0.449996015,79.95077933,0.18676408,0.169884,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ADK_chr10_74151202_74709963_+_ENSG00000156110.15_ENSG00000156110.15.unspliced,0.27441216,88.41423948,0.136819385,23.57670221,0.234995956,0.163842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADNP_chr20_50888916_50931437_-_ENSG00000101126.18_ENSG00000101126.18.unspliced,0.047711054,23.85113269,0.476250996,83.47826087,0.563077792,0.4028415,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADNP2_chr18_80109262_80147523_+_ENSG00000101544.9_ENSG00000101544.9.unspliced,0.100177417,40.84142395,0.456250771,80.83675144,0.941613268,0.140186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADPGK_chr15_72751294_72785846_-_ENSG00000159322.18_ENSG00000159322.18.unspliced,0.150328589,58.34951456,0.42067441,75.71780148,0.499909731,0.355348,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ADPRS_chr1_36088892_36093932_+_ENSG00000116863.11_ENSG00000116863.11.unspliced,0.064464747,28.96440129,0.069436663,13.43724364,0.189784654,0.552206,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADRM1_chr20_62302093_62308862_+_ENSG00000130706.13_ENSG00000130706.13.unspliced,0.051793597,24.95145631,0.470604878,82.69073011,0.558589161,0.804656,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADSS2_chr1_244408494_244451909_-_ENSG00000035687.10_ENSG00000035687.10.unspliced,0.296870816,91.48867314,0.619202693,97.04675964,0.462157369,0.425596,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AEN_chr15_88621337_88632281_+_ENSG00000181026.15_ENSG00000181026.15.unspliced,0.094383994,38.98058252,0.10690504,18.26086957,0.115126152,0.651124,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AFAP1-AS1_chr4_7754077_7778928_+_ENSG00000272620.2_ENSG00000272620.2.unspliced,0.185703576,68.81877023,0.523347426,89.07301066,0.194347663,0.2650405,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AFDN_chr6_167826893_167972023_+_ENSG00000130396.22_ENSG00000130396.22.unspliced,0.303080161,92.23300971,0.391121499,71.10746514,0.564874356,0.2470015,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AFF1_chr4_86935002_87141039_+_ENSG00000172493.23_ENSG00000172493.23.unspliced,0.253665243,85.06472492,0.520817803,88.67924528,0.22754475,0.18283,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AFF4_chr5_132875395_132963634_-_ENSG00000072364.13_ENSG00000072364.13.unspliced,0.351222418,96.29449838,0.403746728,73.09269893,0.463050438,0.1367695,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AFG2A_chr4_122923070_123319433_+_ENSG00000145375.9_ENSG00000145375.9.unspliced,0.204691112,74.38511327,0.338366608,62.3461854,0.197699694,0.197238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AFG2B_chr15_45402336_45421415_+_ENSG00000171763.20_ENSG00000171763.20.unspliced,-0.053757834,3.381877023,0.151626469,26.54634947,0.23342079,0.1936465,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AFG3L1P_chr16_89972581_90002161_+_ENSG00000293510.2_ENSG00000293510.2.unspliced,0.145628367,56.66666667,0.301987964,56.37407711,0.397247278,0.162067,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AFG3L2_chr18_12328944_12377227_-_ENSG00000141385.12_ENSG00000141385.12.unspliced,0.170346995,64.5631068,0.359279502,66.02132896,0.333208827,0.224926,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AFMID_chr17_78187358_78207702_+_ENSG00000183077.16_ENSG00000183077.16.unspliced,0.265415648,86.92556634,0.314135788,58.45775226,0.148495454,0.3559165,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AGAP3_chr7_151085831_151144436_+_ENSG00000133612.20_ENSG00000133612.20.unspliced,0.284983846,89.88673139,0.782320175,99.95077933,0.762425424,0.453386,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AGFG1_chr2_227472152_227561217_+_ENSG00000173744.18_ENSG00000173744.18.unspliced,0.296997477,91.50485437,0.509529,87.18621821,0.518966314,0.1461365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AGK_chr7_141551278_141655244_+_ENSG00000006530.18_ENSG00000006530.18.unspliced,0.334287678,95.17799353,0.438905521,78.3757178,0.347539316,0.1389085,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AGO1_chr1_35869808_35930532_+_ENSG00000092847.14_ENSG00000092847.14.unspliced,0.440813951,99.38511327,0.529473119,89.79491386,0.386794191,0.320715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AGO2_chr8_140520156_140635633_-_ENSG00000123908.12_ENSG00000123908.12.unspliced,0.335784252,95.21035599,0.478479109,83.75717801,0.430227189,0.182005,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AGO3_chr1_35930718_36072500_+_ENSG00000126070.20_ENSG00000126070.20.unspliced,0.113074024,45,0.250349338,46.20180476,0.575733737,0.169734,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AGPAT1_chr6_32168212_32178096_-_ENSG00000204310.13_ENSG00000204310.13.unspliced,0.191463121,70.58252427,-0.000782826,6.349466776,0.409534591,0.3242215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AGPAT2_chr9_136673143_136687457_-_ENSG00000169692.14_ENSG00000169692.14.unspliced,0.142141141,55.64724919,0.558551265,92.91222313,0.126781093,0.2596645,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AGPAT3_chr21_43865223_43987592_+_ENSG00000160216.21_ENSG00000160216.21.unspliced,0.255833942,85.61488673,0.627259422,97.39130435,0.493928076,0.134364,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AGPAT5_chr8_6708642_6761503_+_ENSG00000155189.12_ENSG00000155189.12.unspliced,0.20091132,73.2038835,0.366295982,67.36669401,0.681956771,0.3421445,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AGPS_chr2_177392746_177567024_+_ENSG00000018510.18_ENSG00000018510.18.unspliced,0.180241403,67.18446602,0.271513959,50.61525841,0.324937748,0.160581,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AGRN_chr1_1020120_1056119_+_ENSG00000188157.16_ENSG00000188157.16.unspliced,0.18954817,69.91909385,0.367047941,67.53076292,0.329983901,0.248084,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AGTRAP_chr1_11736084_11754802_+_ENSG00000177674.16_ENSG00000177674.16.unspliced,0.139398728,54.61165049,0.227847532,41.82116489,0.149094493,0.2348895,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AHCTF1_chr1_246839098_246931948_-_ENSG00000153207.16_ENSG00000153207.16.unspliced,0.276530223,88.62459547,0.489530769,85.0369155,0.518606484,0.389988,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AHCY_chr20_34280268_34311802_-_ENSG00000101444.13_ENSG00000101444.13.unspliced,-0.053179243,3.462783172,0.094882198,16.68580804,0.280581637,0.245636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AHCYL1_chr1_109984765_110023742_+_ENSG00000168710.18_ENSG00000168710.18.unspliced,0.522215054,99.98381877,0.171316819,30.05742412,0.381586664,0.3155165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AHSA1_chr14_77457870_77469472_+_ENSG00000100591.8_ENSG00000100591.8.unspliced,0.008513564,13.00970874,0.045124328,10.61525841,0.669882196,0.2008415,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AHSA2P_chr2_61177539_61186786_+_ENSG00000173209.24_ENSG00000173209.24.unspliced,0.268034842,87.41100324,0.586128748,95.07793273,0.094202565,0.1734565,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AHSP_chr16_31527900_31528803_+_ENSG00000169877.10_ENSG00000169877.10.unspliced,0.164096284,62.78317152,-0.035377053,3.872026251,0.230912053,0.1272495,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AIG1_chr6_143060496_143341058_+_ENSG00000146416.19_ENSG00000146416.19.unspliced,0.18806916,69.46601942,0.486352717,84.6923708,0.250371959,0.3178645,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AIMP1_chr4_106315544_106349456_+_ENSG00000164022.18_ENSG00000164022.18.unspliced,0.177377153,66.44012945,0.213119714,38.65463495,0.217255974,0.1773655,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AIMP2_chr7_6009255_6023834_+_ENSG00000106305.10_ENSG00000106305.10.unspliced,0.01091255,13.44660194,0.239772408,44.16735029,0.164706947,0.3736215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AIRIM_chr1_37681570_37692249_-_ENSG00000116922.15_ENSG00000116922.15.unspliced,0.092049406,38.18770227,0.176349365,31.07465135,0.195489188,0.635146,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
