transcript,XIST_r,XIST_perct,NEAT1_r,NEAT1_perct,Bruseq_stability,total_expression,Xsimi_p0.05,Xsimi_p0.01,Xsimi_p0.001,Nsimi_p0.05,Nsimi_p0.01,Nsimi_p0.001,semi_extract,gene_type
ABCB8_chr7_151028422_151047782_+_ENSG00000197150.13_ENSG00000197150.13.unspliced,0.205240175,73.92429634,0.288037514,55.16393443,0.361349074,0.3735175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABCE1_chr4_145098288_145129524_+_ENSG00000164163.11_ENSG00000164163.11.unspliced,0.046329786,22.01552896,0.064930427,14.60655738,0.237306625,0.434827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABCF1_chr6_30571393_30597179_+_ENSG00000204574.14_ENSG00000204574.14.unspliced,0.058330546,25.65512779,0.145488487,27.60655738,0.323131279,0.355983,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ABCF2_chr7_151211484_151227205_-_ENSG00000033050.9_ENSG00000033050.9.unspliced,0.14372128,54.64251051,0.089962499,18.08196721,0.294069496,0.2538765,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ABCF3_chr3_184186095_184194012_+_ENSG00000161204.12_ENSG00000161204.12.unspliced,0.028463506,16.8877386,0.241192954,46.45901639,0.479509397,0.143983,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ABHD11_chr7_73736094_73738852_-_ENSG00000106077.19_ENSG00000106077.19.unspliced,0.094059213,37.73859592,0.239808694,46.09836066,0.083921165,0.9350765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABHD13_chr13_108218392_108234243_+_ENSG00000139826.6_ENSG00000139826.6.unspliced,-0.054144821,2.74991912,0.244397353,47.13114754,0.283393738,0.26455,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced,0.191463651,70.04205759,0.301308972,57.40983607,0.525373944,0.4454495,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ABHD17A_chr19_1876810_1885496_-_ENSG00000129968.17_ENSG00000129968.17.unspliced,0.295341589,91.02232287,0.582139851,94.75409836,0.870398867,1.213045,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABHD18_chr4_127965315_128039953_+_ENSG00000164074.17_ENSG00000164074.17.unspliced,0.116445028,44.92073763,0.13587021,25.59016393,0.439946536,0.1484985,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABHD2_chr15_89087459_89202355_+_ENSG00000140526.18_ENSG00000140526.18.unspliced,0.089858945,36.2504044,0.163169557,30.83606557,0.189434423,0.2040895,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ABHD3_chr18_21650901_21704780_-_ENSG00000158201.10_ENSG00000158201.10.unspliced,0.13613465,51.97347137,0.250912577,48.60655738,0.518940498,0.1445505,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABHD5_chr3_43690108_43734371_+_ENSG00000011198.10_ENSG00000011198.10.unspliced,0.074586498,30.87997412,0.420894405,76.47540984,0.275461589,0.3909195,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABL1_chr9_130713043_130887675_+_ENSG00000097007.20_ENSG00000097007.20.unspliced,0.269676134,87.31802006,0.396708382,72.72131148,0.356741823,0.440712,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ABO_chr9_133233278_133276024_-_ENSG00000175164.16_ENSG00000175164.16.unspliced,0.319322991,93.91782595,0.738019083,99.86885246,0.372036937,0.2820225,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
ABT1_chr6_26596953_26600739_+_ENSG00000146109.5_ENSG00000146109.5.unspliced,0.021457264,14.73633128,0.377734171,69.8852459,0.133770537,0.251206,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACAA1_chr3_38103129_38137242_-_ENSG00000060971.19_ENSG00000060971.19.unspliced,0.048055414,22.51698479,0.375914157,69.6557377,0.212668858,0.1557855,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
ACAA2P1_chrX_48775993_48776970_-_ENSG00000233585.3_ENST00000419045.1.monoexonic.unspliced,-0.070428267,1.779359431,-0.010597578,6.06557377,0.460290943,0.128618,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,transcribed_processed_pseudogene
ACACA_chr17_37084992_37406836_-_ENSG00000278540.5_ENSG00000278540.5.unspliced,0.256454594,85.03720479,0.273462231,52.70491803,0.431471223,0.2133935,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACAD9_chr3_128879596_128924003_+_ENSG00000177646.20_ENSG00000177646.20.unspliced,0.304602967,92.36493044,0.494194029,86.19672131,0.235453094,0.159461,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACADM_chr1_75724431_75787575_+_ENSG00000117054.15_ENSG00000117054.15.unspliced,0.091693977,36.89744419,0.001324075,7.245901639,0.199856456,0.1489735,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACADVL_chr17_7217125_7225266_+_ENSG00000072778.20_ENSG00000072778.20.unspliced,0.093891804,37.64153995,0.153845111,29.13114754,0.787271088,0.4384155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACAP2-IT1_chr3_195280723_195282741_-_ENSG00000229325.1_ENSG00000229325.1.unspliced,0.026474553,16.17599482,0.003602511,7.442622951,10.04393698,0.1996905,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,lncRNA
ACAP3_chr1_1292390_1309609_-_ENSG00000131584.19_ENSG00000131584.19.unspliced,0.267959392,87.12390812,0.555292155,92.78688525,0.501602105,0.3668675,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACAT2_chr6_159762045_159779112_+_ENSG00000120437.9_ENSG00000120437.9.unspliced,0.000591127,9.980588806,0.385583721,71,0.6153417,0.3334065,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACBD3_chr1_226144679_226186741_-_ENSG00000182827.9_ENSG00000182827.9.unspliced,0.075760925,31.28437399,0.148545603,28.1147541,0.301296326,0.1930205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACBD6_chr1_180269653_180502954_-_ENSG00000230124.8_ENSG00000230124.8.unspliced,0.096892108,38.61209964,0.188985549,36.08196721,0.27479967,0.152885,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACCS_chr11_44065925_44084237_+_ENSG00000110455.14_ENSG00000110455.14.unspliced,0.384645459,97.97800065,0.384935477,70.90163934,0.20950904,0.1935865,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACIN1_chr14_23058564_23095614_-_ENSG00000100813.15_ENSG00000100813.15.unspliced,0.274642186,88.22387577,0.47275006,83.36065574,0.869074429,0.388394,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACLY_chr17_41866917_41930542_-_ENSG00000131473.17_ENSG00000131473.17.unspliced,0.021940218,14.86573924,0.025012774,9.672131148,0.657786876,0.2009535,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACO2_chr22_41447830_41529273_+_ENSG00000100412.17_ENSG00000100412.17.unspliced,0.161854953,61.12908444,0.192012524,36.60655738,0.342597318,0.164693,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACOT13_chr6_24667035_24705065_+_ENSG00000112304.11_ENSG00000112304.11.unspliced,-0.09609523,0.776447752,0.092121207,18.31147541,0.135288144,0.1344915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACP1_chr2_264140_278283_+_ENSG00000143727.16_ENSG00000143727.16.unspliced,0.030662991,17.51860239,0.283063208,54.31147541,0.326332703,0.4334975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACP2_chr11_47239302_47248906_-_ENSG00000134575.13_ENSG00000134575.13.unspliced,0.033179839,18.26269816,0.294584154,56.36065574,0.101363788,0.1314025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACSL3_chr2_222860942_222944639_+_ENSG00000123983.15_ENSG00000123983.15.unspliced,0.191383943,70.0097056,0.587348102,95.14754098,0.492495516,0.195203,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACSL4_chrX_109624244_109733403_-_ENSG00000068366.21_ENSG00000068366.21.unspliced,0.021174959,14.6878033,0.090511239,18.14754098,0.469040586,0.1263075,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACTB_chr7_5526409_5563902_-_ENSG00000075624.17_ENSG00000075624.17.unspliced,0.101668413,40.0032352,0.536425772,90.73770492,0.18126626,0.218394,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACTBP11_chr1_223863726_223864851_-_ENSG00000188460.4_ENST00000436287.1.monoexonic.unspliced,0.117936887,45.48689744,0.077493167,16.24590164,0.744299464,0.257862,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,processed_pseudogene
ACTG1_chr17_81509413_81523847_-_ENSG00000184009.13_ENSG00000184009.13.unspliced,0.142527247,54.17340666,0.358867788,67.13114754,0.068860076,0.2380275,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACTG1P3_chr20_1160584_1161697_+_ENSG00000215388.3_ENST00000431775.1.monoexonic.unspliced,0.168295032,63.07020382,NA,NA,0,0.288999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,processed_pseudogene
ACTL6A_chr3_179562886_179588407_+_ENSG00000136518.17_ENSG00000136518.17.unspliced,0.057785679,25.49336784,0.190146475,36.29508197,0.283326927,0.22565,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACTN4_chr19_38647649_38731589_+_ENSG00000130402.14_ENSG00000130402.14.unspliced,0.257964419,85.40925267,0.418073639,76.13114754,0.345264064,0.262149,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
ACTR1B_chr2_97655939_97664044_-_ENSG00000115073.8_ENSG00000115073.8.unspliced,0.181595853,67.00097056,0.430877087,77.90163934,0.138700945,0.662652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACTR2_chr2_65227788_65271253_+_ENSG00000138071.15_ENSG00000138071.15.unspliced,0.153079284,58.29828534,0.342096336,64.62295082,0.235629698,0.2172605,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACTR3_chr2_113890063_113962596_+_ENSG00000115091.12_ENSG00000115091.12.unspliced,0.025688592,15.9333549,0.392623604,72,0.359023351,0.286015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACTR3B_chr7_152759749_152855378_+_ENSG00000133627.18_ENSG00000133627.18.unspliced,0.115105656,44.3707538,0.634986135,97.44262295,0.22319856,0.165781,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACTR5_chr20_38748460_38772520_+_ENSG00000101442.10_ENSG00000101442.10.unspliced,0.124069941,47.62212876,0.153695867,29.1147541,0.403145034,0.215795,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ACTR6_chr12_100199122_100241865_+_ENSG00000075089.10_ENSG00000075089.10.unspliced,-0.041535481,3.785182789,0.09319199,18.42622951,0.388262874,0.1619395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACVR2B_chr3_38453890_38493142_+_ENSG00000114739.14_ENSG00000114739.14.unspliced,0.223851933,78.82562278,0.525075762,89.45901639,0.339072498,0.1313075,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
ACY1_chr3_51983340_51989197_+_ENSG00000243989.9_ENSG00000243989.9.unspliced,0.025392889,15.70689097,-0.069366384,2.278688525,0.070475079,0.305729,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ACYP1_chr14_75053237_75069483_-_ENSG00000119640.9_ENSG00000119640.9.unspliced,0.153271135,58.34681333,0.428045016,77.49180328,0.372168236,0.1763225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADAM10_chr15_58588809_58749791_-_ENSG00000137845.15_ENSG00000137845.15.unspliced,0.129892887,49.70883209,0.476478869,83.93442623,0.268620662,0.1359335,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ADAM15_chr1_155050566_155062775_+_ENSG00000143537.14_ENSG00000143537.14.unspliced,0.169119122,63.26431576,0.322894003,61.31147541,0.304337812,0.1758235,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ADAM17_chr2_9488486_9556732_-_ENSG00000151694.15_ENSG00000151694.15.unspliced,0.356091255,96.66774507,0.552794016,92.52459016,0.574237722,0.157468,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADAMTS14_chr10_70672506_70762441_+_ENSG00000138316.11_ENSG00000138316.11.unspliced,0.388352772,98.10740861,0.698982351,99.36065574,0.197165115,0.545849,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
ADAMTS3_chr4_72280969_72569221_-_ENSG00000156140.11_ENSG00000156140.11.unspliced,0.155273188,58.96150113,0.002932461,7.360655738,0.246523192,0.1972365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ADAMTSL4_chr1_150549369_150560937_+_ENSG00000143382.16_ENSG00000143382.16.unspliced,0.292929486,90.73115497,0.366596038,68.2295082,0.249891376,0.9380815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADAT2_chr6_143422832_143450695_-_ENSG00000189007.16_ENSG00000189007.16.unspliced,0.199744404,72.51698479,0.184345774,35.01639344,0.184092933,0.8224775,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADCY7_chr16_50246137_50318135_+_ENSG00000121281.13_ENSG00000121281.13.unspliced,0.220996983,78.21093497,0.456348697,81.37704918,0.223705498,0.3292325,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
ADGRB3_chr6_68635282_69390571_+_ENSG00000135298.15_ENSG00000135298.15.unspliced,0.240612954,82.27110967,0.292562977,55.95081967,0.740805607,0.1655205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,protein_coding
ADGRE5_chr19_14380501_14408725_+_ENSG00000123146.20_ENSG00000123146.20.unspliced,0.302693454,92.02523455,0.484925989,85.06557377,0.237770177,0.2043575,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADGRV1_chr5_90529344_91164437_+_ENSG00000164199.18_ENSG00000164199.18.unspliced,0.157188416,59.60854093,0.16265513,30.75409836,0.279629842,0.2042915,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,protein_coding
ADH5_chr4_99070978_99088801_-_ENSG00000197894.12_ENSG00000197894.12.unspliced,0.23950075,82.12552572,0.335912154,63.52459016,0.141923322,0.2483605,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADIPOR1_chr1_202940826_202958572_-_ENSG00000159346.13_ENSG00000159346.13.unspliced,0.189947441,69.52442575,0.252805108,48.91803279,0.215008563,0.3670345,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADIPOR2_chr12_1688574_1788674_+_ENSG00000006831.10_ENSG00000006831.10.unspliced,0.083865664,34.14752507,0.394493615,72.29508197,0.18676408,0.169884,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ADK_chr10_74151202_74709963_+_ENSG00000156110.15_ENSG00000156110.15.unspliced,0.180804033,66.72597865,0.140395094,26.49180328,0.234995956,0.163842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADNP_chr20_50888916_50931437_-_ENSG00000101126.18_ENSG00000101126.18.unspliced,0.055903341,24.81397606,0.489069659,85.52459016,0.563077792,0.4028415,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADNP2_chr18_80109262_80147523_+_ENSG00000101544.9_ENSG00000101544.9.unspliced,0.110964057,42.89873827,0.430068531,77.78688525,0.941613268,0.140186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADPGK_chr15_72751294_72785846_-_ENSG00000159322.18_ENSG00000159322.18.unspliced,0.138265858,52.58815917,0.392501866,71.96721311,0.499909731,0.355348,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ADPRS_chr1_36088892_36093932_+_ENSG00000116863.11_ENSG00000116863.11.unspliced,0.092671452,37.14008412,0.098658485,19.04918033,0.189784654,0.552206,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADRM1_chr20_62302093_62308862_+_ENSG00000130706.13_ENSG00000130706.13.unspliced,0.034972056,18.73180201,0.465156854,82.44262295,0.558589161,0.804656,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ADSS2_chr1_244408494_244451909_-_ENSG00000035687.10_ENSG00000035687.10.unspliced,0.286849315,89.82529926,0.637123466,97.54098361,0.462157369,0.425596,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AEN_chr15_88621337_88632281_+_ENSG00000181026.15_ENSG00000181026.15.unspliced,0.097896842,38.93561954,0.002859086,7.344262295,0.115126152,0.651124,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
AFAP1-AS1_chr4_7754077_7778928_+_ENSG00000272620.2_ENSG00000272620.2.unspliced,0.210125391,75.23455192,0.534773298,90.59016393,0.194347663,0.2650405,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,lncRNA
AFDN_chr6_167826893_167972023_+_ENSG00000130396.22_ENSG00000130396.22.unspliced,0.299447853,91.60465869,0.405523794,74.06557377,0.564874356,0.2470015,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AFF1_chr4_86935002_87141039_+_ENSG00000172493.23_ENSG00000172493.23.unspliced,0.252035638,84.390165,0.520121149,88.8852459,0.22754475,0.18283,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AFF4_chr5_132875395_132963634_-_ENSG00000072364.13_ENSG00000072364.13.unspliced,0.362981318,97.02361695,0.411855661,75.01639344,0.463050438,0.1367695,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AFG2A_chr4_122923070_123319433_+_ENSG00000145375.9_ENSG00000145375.9.unspliced,0.199469773,72.41992883,0.346013947,65.21311475,0.197699694,0.197238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AFG2B_chr15_45402336_45421415_+_ENSG00000171763.20_ENSG00000171763.20.unspliced,-0.051109909,3.089615011,0.159875273,30.21311475,0.23342079,0.1936465,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AFG3L1P_chr16_89972581_90002161_+_ENSG00000293510.2_ENSG00000293510.2.unspliced,0.158120937,59.9967648,0.322337581,61.16393443,0.397247278,0.162067,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,lncRNA
AFG3L2_chr18_12328944_12377227_-_ENSG00000141385.12_ENSG00000141385.12.unspliced,0.17820052,65.91717891,0.370436642,68.86885246,0.333208827,0.224926,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AFMID_chr17_78187358_78207702_+_ENSG00000183077.16_ENSG00000183077.16.unspliced,0.262272528,86.13717244,0.307300097,58.60655738,0.148495454,0.3559165,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AGAP3_chr7_151085831_151144436_+_ENSG00000133612.20_ENSG00000133612.20.unspliced,0.304282518,92.28405047,0.772877312,99.95081967,0.762425424,0.453386,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
AGFG1_chr2_227472152_227561217_+_ENSG00000173744.18_ENSG00000173744.18.unspliced,0.29982808,91.66936267,0.500264502,86.86885246,0.518966314,0.1461365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AGK_chr7_141551278_141655244_+_ENSG00000006530.18_ENSG00000006530.18.unspliced,0.329082209,94.85603365,0.443521713,79.75409836,0.347539316,0.1389085,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AGO1_chr1_35869808_35930532_+_ENSG00000092847.14_ENSG00000092847.14.unspliced,0.432106343,99.23972824,0.461966758,81.93442623,0.386794191,0.320715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AGO2_chr8_140520156_140635633_-_ENSG00000123908.12_ENSG00000123908.12.unspliced,0.336370898,95.38984148,0.430026189,77.7704918,0.430227189,0.182005,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
AGO3_chr1_35930718_36072500_+_ENSG00000126070.20_ENSG00000126070.20.unspliced,0.109913496,42.60757037,0.232273816,44.57377049,0.575733737,0.169734,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AGPAT1_chr6_32168212_32178096_-_ENSG00000204310.13_ENSG00000204310.13.unspliced,0.183254539,67.72889033,0.005139106,7.573770492,0.409534591,0.3242215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AGPAT2_chr9_136673143_136687457_-_ENSG00000169692.14_ENSG00000169692.14.unspliced,0.145439697,55.12779036,0.570713173,93.98360656,0.126781093,0.2596645,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AGPAT3_chr21_43865223_43987592_+_ENSG00000160216.21_ENSG00000160216.21.unspliced,0.249681361,83.90488515,0.617406569,96.68852459,0.493928076,0.134364,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
AGPAT5_chr8_6708642_6761503_+_ENSG00000155189.12_ENSG00000155189.12.unspliced,0.198072968,71.90229699,0.295246398,56.55737705,0.681956771,0.3421445,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AGPS_chr2_177392746_177567024_+_ENSG00000018510.18_ENSG00000018510.18.unspliced,0.172335523,64.28340343,0.301713422,57.54098361,0.324937748,0.160581,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AGRN_chr1_1020120_1056119_+_ENSG00000188157.16_ENSG00000188157.16.unspliced,0.196468242,71.54642511,0.28229684,54.13114754,0.329983901,0.248084,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AGTRAP_chr1_11736084_11754802_+_ENSG00000177674.16_ENSG00000177674.16.unspliced,0.174753265,65.02749919,0.240622377,46.31147541,0.149094493,0.2348895,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AHCTF1_chr1_246839098_246931948_-_ENSG00000153207.16_ENSG00000153207.16.unspliced,0.290610253,90.40763507,0.494742582,86.29508197,0.518606484,0.389988,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AHCY_chr20_34280268_34311802_-_ENSG00000101444.13_ENSG00000101444.13.unspliced,-0.04003789,3.898414753,0.032981759,10.54098361,0.280581637,0.245636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AHCYL1_chr1_109984765_110023742_+_ENSG00000168710.18_ENSG00000168710.18.unspliced,0.494756045,99.96764801,0.137332008,25.90163934,0.381586664,0.3155165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AHSA1_chr14_77457870_77469472_+_ENSG00000100591.8_ENSG00000100591.8.unspliced,0.031864783,17.97153025,0.056951267,13.19672131,0.669882196,0.2008415,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
