file,qT,nT,knum,total_n,r_median,r_std,len_median,len_std,top50_r_median,top50_r_std,top50_len_median,top50_len_std
XISTint14,0.99,0.9,5,243273,0.20228602,0.10935578,386,315.9513293,0.4826501,0.100888394,2263.5,826.7776001
XISTint2,0.9,0.9,5,140958,0.10694567,0.064619906,56,54.2645168,0.37599373,0.12137943,35,24.92674066
XISTint3,0.99,0.9,5,259953,0.15376471,0.07903453,332,247.8267354,0.3714655,0.11816395,1689,662.3309493
XISTint4,0.99,0.9,5,112924,0.18077013,0.072274715,273,116.7618452,0.37466955,0.10719819,782,545.1019079
XISTint5,0.99,0.9,5,132474,0.15624021,0.08698501,276,121.3984852,0.36037284,0.10771806,663.5,545.977619
XISTint6,0.99,0.9,5,108959,0.18094064,0.08414489,272,119.1353778,0.37529904,0.08811888,842,472.5642496
XISTint7,0.99,0.9,5,155540,0.14467755,0.07021149,291,149.5867611,0.33529907,0.103937626,712.5,351.9209093
XISTint8,0.99,0.9,5,245105,0.16758326,0.09048673,341,226.8003863,0.38312426,0.10109443,1490.5,737.0518842
XISTint9,0.99,0.93,5,93311,0.073674515,0.04884619,217,131.1005521,0.20830432,0.10705101,259.5,168.5287168
XISTrA,0.93,0.9,5,50680,0.16919932,0.056417722,130,53.98474227,0.34814587,0.116907656,112.5,78.7740084
XISTrB1,0.9,0.93,5,29075,0.14266364,0.13026842,50,47.94198675,0.7622901,0.04860721,28.5,33.69207028
XISTrB2,0.9,0.93,5,30045,0.16323826,0.1031757,47,43.82307008,0.56691766,0.06830713,31,29.49039844
XISTrD,0.99,0.9,5,1754,0.15627563,0.062789574,241,228.4468174,0.26496747,0.14079136,245,417.8499008
XISTrE,0.93,0.93,5,5395,0.2834566,0.12839296,181,102.56539439572643,0.5060556,0.09203642,228,221.3807615851025
XISTrF,0.99,0.93,5,18897,0.14926985,0.045056313,254,135.1589709,0.2778104,0.14094688,340,268.3572514
