file,qT,nT,knum,total_n,r_median,r_std,len_median,len_std,top50_r_median,top50_r_std,top50_len_median,top50_len_std
NEAT1chk4,0.99,0.9,6,241163,0.07631412,0.052686825,493,463.1938467,0.23096727,0.08271447,2655.5,1003.654634
NEAT1chk5,0.96,0.9,6,133821,0.03852534,0.026000526,294,168.2649723,0.14315632,0.11934965,377,303.0645502
NEAT1chk6,0.96,0.9,6,113529,0.038214587,0.02258022,283,145.6672545,0.11801121,0.11875372,272.5,154.5352206
NEAT1chk7,0.99,0.9,6,241261,0.08168129,0.061761875,512,504.6818203,0.27646032,0.08173977,2712.5,1217.303137
NEAT1chk8,0.99,0.93,6,114281,0.043651365,0.026523592,323,218.0519952,0.13565253,0.08606527,356,277.6746297
NEAT1chk9,0.99,0.9,6,231664,0.08535862,0.068643,554,576.4542471,0.3287048,0.051695444,3177.5,1064.681385
NKILA-SRSFNRE,0.9,0.9,6,73706,0.06077981,0.026629368,84,63.9095749,0.1824056,0.009171231,66,15.12382227
NXF1-enChr,0.9,0.9,6,119698,0.06512134,0.028372101,64,63.69997971,0.21901639,0.05713594,30,19.43296169
PRRX2-eRNA,0.9,0.9,6,43023,0.04356373,0.055180196,111,65.16390829,0.33362615,0.014359565,86,7.570891625
PVT1-22,0.9,0.93,6,41071,0.07393089,0.16801895,52,47.12057221,0.57578087,0.016402345,63,14.98026702
SEMA3C-eRNA,0.96,0.93,6,108261,0.05403544,0.034121823,168,127.7428252,0.16375186,0.006522769,150.5,91.98353113
XIST-PfIMI,0.99,0.9,6,140034,0.074278206,0.048114687,286,150.79514639178146,0.2036326,0.1476013,609,682.5325592233679
XISTint1,0.93,0.9,6,212580,0.054717235,0.04060957,144,116.5477968,0.22742516,0.011207608,107.5,59.40521526
XISTint10,0.96,0.9,6,78769,0.03920763,0.026337178,268,123.4168776,0.1283152,0.16598102,317,293.7530963
XISTint11,0.99,0.9,6,240274,0.087645344,0.06770546,476,443.1917446,0.2910756,0.09383972,2944,958.3774257
XISTint12,0.99,0.9,6,245473,0.08027948,0.059696816,427,364.6741109,0.25164765,0.09998888,2166,800.733509
XISTint13,0.99,0.9,6,253283,0.0694713,0.052976537,465,419.7995929,0.21650855,0.10864836,2109,866.6971607
XISTint14,0.99,0.9,6,248512,0.07166344,0.061466742,452,396.6627096,0.24529162,0.12181773,2237.5,798.6014776
XISTint2,0.9,0.9,6,123057,0.054358263,0.034280445,65,64.91687872,0.27238667,0.1397365,31.5,24.51387362
XISTint3,0.99,0.9,6,201295,0.057292826,0.046975303,635,601.6809305,0.20812044,0.006483258,2243.5,646.7586678
XISTint4,0.99,0.9,6,201075,0.06579566,0.041124936,337,231.1200357,0.18687055,0.13597219,861.5,609.6450197
XISTint5,0.99,0.9,6,226531,0.05999098,0.040180266,349,250.4109079,0.18243782,0.11978383,819.5,682.9734229
XISTint6,0.99,0.9,6,232999,0.06370726,0.041101318,397,317.988988,0.1941672,0.0863909,1181,872.770304
XISTint7,0.96,0.9,6,101406,0.058825724,0.03551378,278,148.1756306,0.17699903,0.14138505,375.5,307.4842929
XISTint8,0.99,0.9,6,237370,0.061286442,0.050849445,531,529.6785185,0.21509895,0.104427636,2866.5,1180.973193
XISTint9,0.96,0.9,6,234492,0.026312068,0.022902709,262,193.3496449,0.1208206,0.12583363,220.5,155.5994871
XISTrA,0.9,0.9,6,23535,0.07291939,0.040100206,131,64.60172134,0.24435589,0.14835304,112,65.31759028
XISTrB1,0.9,0.93,6,29680,0.09096422,0.08110079,56,52.95641582710351,0.65224636,0.056741886,28.5,31.109927675904355
XISTrB2,0.9,0.93,6,29226,0.06855478,0.05545237,55,51.40695781,0.42643887,0.11523048,33.5,21.86434541
XISTrD,0.99,0.9,6,38615,0.05055601,0.029861433,260,133.1777941,0.1639677,0.15537189,377,455.2287407
XISTrE,0.96,0.93,6,67401,0.0658363,0.059317626,219,134.75216052126197,0.33226782,0.117605716,230,390.3515728160961
XISTrF,0.96,0.9,6,97391,0.05714069,0.0245124,280,142.578276,0.14969453,0.15609452,315,301.9803066
