seqName,XISTrA_tuc0.05,XISTrB12_tuc0.05,XISTrD_tuc0.05,XISTrE_tuc0.05,XISTrF_tuc0.05,gene_type
ANKRD12_chr18_9136228_9285985_+_ENSG00000101745.17_ENSG00000101745.17.unspliced,401,1033,1312,5752,8342,protein_coding
ANKRD27_chr19_32597006_32676597_-_ENSG00000105186.16_ENSG00000105186.16.unspliced,509,596,1295,2092,4126,protein_coding
ANKRD36_chr2_97113153_97264521_+_ENSG00000135976.21_ENSG00000135976.21.unspliced,2093,315,1885,10026,18005,protein_coding
ANKRD42-DT_chr11_83184003_83193794_-_ENSG00000247137.10_ENSG00000247137.10.unspliced,191,272,505,1081,529,lncRNA
ANLN_chr7_36389821_36453791_+_ENSG00000011426.11_ENSG00000011426.11.unspliced,464,155,414,2812,3344,protein_coding
ANP32A_chr15_68778535_68820897_-_ENSG00000140350.15_ENSG00000140350.15.unspliced,370,704,493,715,883,protein_coding
ANP32B_chr9_97983341_98015943_+_ENSG00000136938.9_ENSG00000136938.9.unspliced,594,324,286,152,2115,protein_coding
AP2B1_chr17_35578046_35726413_+_ENSG00000006125.18_ENSG00000006125.18.unspliced,678,498,1698,5118,5326,protein_coding
AP2S1_chr19_46838136_46850846_-_ENSG00000042753.12_ENSG00000042753.12.unspliced,281,305,224,256,427,protein_coding
APIP_chr11_34853094_34916379_-_ENSG00000149089.13_ENSG00000149089.13.unspliced,535,384,779,2443,3288,protein_coding
APLP2_chr11_130068147_130144811_+_ENSG00000084234.18_ENSG00000084234.18.unspliced,734,682,627,3764,5004,protein_coding
ARID4B_chr1_235131634_235328219_-_ENSG00000054267.22_ENSG00000054267.22.unspliced,1050,780,2515,5198,5537,protein_coding
ARIH1_chr15_72474330_72602987_+_ENSG00000166233.15_ENSG00000166233.15.unspliced,1508,334,1235,4504,6056,protein_coding
ARIH2_chr3_48918821_48986382_+_ENSG00000177479.20_ENSG00000177479.20.unspliced,422,242,938,2872,2684,protein_coding
ARL5A_chr2_151788984_151828492_-_ENSG00000162980.17_ENSG00000162980.17.unspliced,157,509,730,648,1642,protein_coding
ARL6IP6_chr2_152717647_152762396_+_ENSG00000177917.12_ENSG00000177917.12.unspliced,413,799,481,1829,2983,protein_coding
ARMT1_chr6_151452258_151470101_+_ENSG00000146476.11_ENSG00000146476.11.unspliced,386,289,831,250,859,protein_coding
ASNS_chr7_97851677_97872542_-_ENSG00000070669.17_ENSG00000070669.17.unspliced,162,258,573,1118,1501,protein_coding
ASPH_chr8_61500556_61714640_-_ENSG00000198363.18_ENSG00000198363.18.unspliced,1085,741,3529,5806,9851,protein_coding
ASPM_chr1_197084121_197146694_-_ENSG00000066279.19_ENSG00000066279.19.unspliced,346,415,1136,5336,4776,protein_coding
ATF1_chr12_50763710_50821162_+_ENSG00000123268.9_ENSG00000123268.9.unspliced,435,670,253,1669,990,protein_coding
ATF2_chr2_175072250_175168382_-_ENSG00000115966.18_ENSG00000115966.18.unspliced,622,667,1302,2791,5516,protein_coding
ATG4B_chr2_241637213_241673857_+_ENSG00000168397.17_ENSG00000168397.17.unspliced,1279,1010,976,369,1687,protein_coding
ATL2_chr2_38293954_38377285_-_ENSG00000119787.14_ENSG00000119787.14.unspliced,938,703,258,4682,4258,protein_coding
ATP5MC2_chr12_53632726_53677408_-_ENSG00000135390.21_ENSG00000135390.21.unspliced,320,297,700,1424,2192,protein_coding
B3GNT2_chr2_62196115_62224731_+_ENSG00000170340.11_ENSG00000170340.11.unspliced,125,222,204,887,2260,protein_coding
BAG2_chr6_57172326_57189833_+_ENSG00000112208.11_ENSG00000112208.11.unspliced,208,324,204,1157,2449,protein_coding
BAG6_chr6_31639028_31652705_-_ENSG00000204463.14_ENSG00000204463.14.unspliced,267,400,210,310,1585,protein_coding
BCAN-AS2_chr1_156614740_156661503_-_ENSG00000229953.2_ENSG00000229953.2.unspliced,472,1124,515,803,1749,lncRNA
BCL2L11_chr2_111119378_111168444_+_ENSG00000153094.26_ENSG00000153094.26.unspliced,1493,955,566,1210,5365,protein_coding
BCOR_chrX_40049815_40177329_-_ENSG00000183337.18_ENSG00000183337.18.unspliced,2709,5170,1654,3864,12424,protein_coding
BCR_chr22_23179704_23318037_+_ENSG00000186716.21_ENSG00000186716.21.unspliced,476,1825,1410,2907,7027,protein_coding
BIRC6_chr2_32357023_32619571_+_ENSG00000115760.16_ENSG00000115760.16.unspliced,2673,925,2520,8628,9765,protein_coding
BLCAP_chr20_37492472_37527931_-_ENSG00000166619.15_ENSG00000166619.15.unspliced,1038,800,871,840,2783,protein_coding
BLZF1_chr1_169367970_169396540_+_ENSG00000117475.14_ENSG00000117475.14.unspliced,295,422,870,1189,1013,protein_coding
BMP2K_chr4_78776342_78916365_+_ENSG00000138756.19_ENSG00000138756.19.unspliced,703,512,652,6376,7987,protein_coding
BPNT2_chr8_56957931_56993867_-_ENSG00000104331.9_ENSG00000104331.9.unspliced,217,201,825,2020,854,protein_coding
C2CD2_chr21_41885112_41954018_-_ENSG00000157617.17_ENSG00000157617.17.unspliced,1076,468,1250,2135,3566,protein_coding
CA8_chr8_60185412_60281400_-_ENSG00000178538.10_ENSG00000178538.10.unspliced,254,469,444,3462,5844,protein_coding
CAAP1_chr9_26840685_26892803_-_ENSG00000120159.13_ENSG00000120159.13.unspliced,266,96,300,474,1564,protein_coding
CAB39_chr2_230712842_230821075_+_ENSG00000135932.12_ENSG00000135932.12.unspliced,504,803,2827,4009,8766,protein_coding
CAD_chr2_27217369_27243943_+_ENSG00000084774.14_ENSG00000084774.14.unspliced,189,409,829,460,2244,protein_coding
CARS1_chr11_3000922_3057613_-_ENSG00000110619.18_ENSG00000110619.18.unspliced,375,760,1388,1285,3653,protein_coding
CCDC12_chr3_46916634_46982010_-_ENSG00000160799.13_ENSG00000160799.13.unspliced,496,554,774,1759,4672,protein_coding
CCDC144NL-AS1_chr17_20841125_21002324_+_ENSG00000233098.11_ENSG00000233098.11.unspliced,935,1410,2484,5251,4225,lncRNA
CCDC18_chr1_93179919_93278730_+_ENSG00000122483.18_ENSG00000122483.18.unspliced,1006,435,1211,3550,3605,protein_coding
CCDC26_chr8_128634199_129723023_-_ENSG00000229140.13_ENSG00000229140.13.unspliced,5053,2549,14030,40792,51142,lncRNA
CCNC_chr6_99542387_99568825_-_ENSG00000112237.13_ENSG00000112237.13.unspliced,294,411,451,1064,1014,protein_coding
CCND1_chr11_69641156_69654474_+_ENSG00000110092.4_ENSG00000110092.4.unspliced,378,278,247,791,2506,protein_coding
CCND2_chr12_4269771_4305353_+_ENSG00000118971.9_ENSG00000118971.9.unspliced,701,1090,890,2433,1936,protein_coding
CCNJ_chr10_96043394_96060870_+_ENSG00000107443.16_ENSG00000107443.16.unspliced,387,173,329,1626,1348,protein_coding
CCNT1_chr12_48688458_48716998_-_ENSG00000129315.12_ENSG00000129315.12.unspliced,545,284,542,1114,1210,protein_coding
CCNT1_chr12_48688458_48716998_-_ENSG00000129315.12_ENST00000618666.4,419,230,542,264,1009,protein_coding
CCNT2_chr2_134918235_134959342_+_ENSG00000082258.13_ENSG00000082258.13.unspliced,455,549,646,3411,2761,protein_coding
CCT7_chr2_73233420_73253021_+_ENSG00000135624.17_ENSG00000135624.17.unspliced,103,384,502,1375,2357,protein_coding
CDC16_chr13_114234887_114272723_+_ENSG00000130177.16_ENSG00000130177.16.unspliced,239,767,462,1700,1336,protein_coding
CDC37_chr19_10391090_10420121_-_ENSG00000105401.10_ENSG00000105401.10.unspliced,807,1019,735,788,861,protein_coding
CDC45_chr22_19479457_19520612_+_ENSG00000093009.11_ENSG00000093009.11.unspliced,423,365,233,962,1367,protein_coding
CDC73_chr1_193121983_193254815_+_ENSG00000134371.15_ENSG00000134371.15.unspliced,744,662,1534,5970,5345,protein_coding
CDK11B_chr1_1635225_1659012_-_ENSG00000248333.9_ENSG00000248333.9.unspliced,342,173,455,597,2141,protein_coding
CDK17_chr12_96278261_96400480_-_ENSG00000059758.8_ENSG00000059758.8.unspliced,815,561,1286,6062,8979,protein_coding
CENPO_chr2_24793136_24822376_+_ENSG00000138092.11_ENSG00000138092.11.unspliced,255,432,704,2276,5216,protein_coding
CEP43_chr6_166999174_167052718_+_ENSG00000213066.14_ENSG00000213066.14.unspliced,437,408,764,1689,2876,protein_coding
CEP44_chr4_174283730_174333380_+_ENSG00000164118.13_ENSG00000164118.13.unspliced,138,247,520,2255,2220,protein_coding
CEP57_chr11_95789965_95832693_+_ENSG00000166037.11_ENSG00000166037.11.unspliced,403,858,639,2452,1473,protein_coding
CEP85_chr1_26234200_26278808_+_ENSG00000130695.16_ENSG00000130695.16.unspliced,491,242,582,1882,3067,protein_coding
CEP95_chr17_64506865_64542461_+_ENSG00000258890.8_ENSG00000258890.8.unspliced,529,170,727,1558,2855,protein_coding
CEPT1_chr1_111139479_111185104_+_ENSG00000134255.16_ENSG00000134255.16.unspliced,353,465,238,1493,3413,protein_coding
CERS5_chr12_50129289_50167533_-_ENSG00000139624.14_ENSG00000139624.14.unspliced,455,122,207,1193,1098,protein_coding
CFLAR_chr2_201116154_201176687_+_ENSG00000003402.21_ENSG00000003402.21.unspliced,557,467,214,2151,3621,protein_coding
CHD1_chr5_98853985_98929007_-_ENSG00000153922.12_ENSG00000153922.12.unspliced,502,689,745,2102,1815,protein_coding
CHD7_chr8_60678740_60868028_+_ENSG00000171316.14_ENSG00000171316.14.unspliced,975,908,3548,5913,14580,protein_coding
CIAPIN1_chr16_57428187_57447420_-_ENSG00000005194.15_ENSG00000005194.15.unspliced,114,424,1096,813,1734,protein_coding
CIRBP_chr19_1259384_1274880_+_ENSG00000099622.14_ENSG00000099622.14.unspliced,618,1147,473,447,1976,protein_coding
CIZ1_chr9_128161251_128204383_-_ENSG00000148337.22_ENSG00000148337.22.unspliced,776,656,1018,750,1628,protein_coding
CLK2_chr1_155262868_155278491_-_ENSG00000176444.20_ENSG00000176444.20.unspliced,128,542,495,364,697,protein_coding
CLOCK_chr4_55427903_55546909_-_ENSG00000134852.15_ENSG00000134852.15.unspliced,469,618,706,5315,6793,protein_coding
CLPTM1L_chr5_1317752_1345099_-_ENSG00000049656.14_ENSG00000049656.14.unspliced,132,566,1886,2145,4028,protein_coding
CLPTM1_chr19_44954585_44993341_+_ENSG00000104853.16_ENSG00000104853.16.unspliced,234,574,501,171,1982,protein_coding
CLUH_chr17_2689386_2712663_-_ENSG00000132361.18_ENSG00000132361.18.unspliced,672,1086,904,619,2334,protein_coding
CMC1_chr3_28241584_28325142_+_ENSG00000187118.14_ENSG00000187118.14.unspliced,378,239,592,3052,4711,protein_coding
CMC4_chrX_155061622_155071136_-_ENSG00000182712.16_ENSG00000182712.16.unspliced,390,217,542,559,1338,protein_coding
CNOT2_chr12_70243002_70354993_+_ENSG00000111596.14_ENSG00000111596.14.unspliced,1093,511,585,5539,3602,protein_coding
CNOT7_chr8_17224966_17246878_-_ENSG00000198791.12_ENSG00000198791.12.unspliced,469,213,274,925,1479,protein_coding
COA1_chr7_43608456_43729717_-_ENSG00000106603.20_ENSG00000106603.20.unspliced,625,675,1678,3960,6010,protein_coding
COLGALT2_chr1_183929854_184037729_-_ENSG00000198756.12_ENSG00000198756.12.unspliced,239,530,538,2224,5894,protein_coding
COPA_chr1_160288594_160343566_-_ENSG00000122218.17_ENSG00000122218.17.unspliced,546,445,1864,4200,2485,protein_coding
COPB2_chr3_139353946_139389736_-_ENSG00000184432.11_ENSG00000184432.11.unspliced,150,440,1288,2040,1356,protein_coding
COPS8_chr2_237085882_237100474_+_ENSG00000198612.11_ENSG00000198612.11.unspliced,602,70,1035,415,1335,protein_coding
CPNE1_chr20_35626031_35664956_-_ENSG00000214078.13_ENSG00000214078.13.unspliced,449,111,253,947,4503,protein_coding
CPSF6_chr12_69239569_69274358_+_ENSG00000111605.18_ENSG00000111605.18.unspliced,433,564,1562,1361,931,protein_coding
CPSF7_chr11_61402641_61430031_-_ENSG00000149532.16_ENSG00000149532.16.unspliced,134,400,276,926,1139,protein_coding
CRAMP1_chr16_1612337_1677908_+_ENSG00000007545.16_ENSG00000007545.16.unspliced,620,638,209,3403,5585,protein_coding
CROCCP2_chr1_16618969_16657232_-_ENSG00000215908.12_ENSG00000215908.12.unspliced,908,727,216,1076,3266,transcribed_unprocessed_pseudogene
CRY2_chr11_45847118_45883248_+_ENSG00000121671.12_ENSG00000121671.12.unspliced,430,624,460,431,2447,protein_coding
CSE1L_chr20_49046246_49096960_+_ENSG00000124207.17_ENSG00000124207.17.unspliced,772,194,581,1152,2391,protein_coding
CSNK1D_chr17_82239023_82273700_-_ENSG00000141551.15_ENSG00000141551.15.unspliced,669,667,598,1347,5699,protein_coding
CSPP1_chr8_67062417_67196778_+_ENSG00000104218.16_ENSG00000104218.16.unspliced,2017,530,3261,4486,8028,protein_coding
CTBP1_chr4_1211445_1250333_-_ENSG00000159692.18_ENSG00000159692.18.unspliced,1696,1115,1245,1078,4357,protein_coding
CTBP2_chr10_124984317_125161170_-_ENSG00000175029.17_ENSG00000175029.17.unspliced,1731,2217,5165,7265,12694,protein_coding
CTPS1_chr1_40979300_41012565_+_ENSG00000171793.17_ENSG00000171793.17.unspliced,571,349,1111,442,1423,protein_coding
CUL1_chr7_148697914_148801110_+_ENSG00000055130.18_ENSG00000055130.18.unspliced,651,1166,1593,4539,5940,protein_coding
CUL5_chr11_108008898_108107761_+_ENSG00000166266.14_ENSG00000166266.14.unspliced,874,486,1219,2903,2432,protein_coding
CWC22_chr2_179944876_180007297_-_ENSG00000163510.14_ENSG00000163510.14.unspliced,199,319,523,3603,3018,protein_coding
CYP4V2_chr4_186191567_186213463_+_ENSG00000145476.16_ENSG00000145476.16.unspliced,475,342,1116,1678,4298,protein_coding
DAP3_chr1_155687960_155739010_+_ENSG00000132676.16_ENSG00000132676.16.unspliced,403,777,735,926,1922,protein_coding
DARS1_chr2_135905881_135986100_-_ENSG00000115866.11_ENSG00000115866.11.unspliced,105,488,1543,2861,5133,protein_coding
DAZAP1_chr19_1407569_1435687_+_ENSG00000071626.17_ENSG00000071626.17.unspliced,518,1192,776,1170,3808,protein_coding
DCAF4_chr14_72926377_72959703_+_ENSG00000119599.17_ENSG00000119599.17.unspliced,260,766,1196,556,2396,protein_coding
DCAF8_chr1_160215715_160262549_-_ENSG00000132716.19_ENSG00000132716.19.unspliced,336,597,1453,1689,1990,protein_coding
DCAKD_chr17_45023338_45061131_-_ENSG00000172992.13_ENSG00000172992.13.unspliced,524,156,582,491,1172,protein_coding
DCLRE1C_chr10_14897359_14954432_-_ENSG00000152457.19_ENSG00000152457.19.unspliced,254,418,1166,2520,3305,protein_coding
DCUN1D4_chr4_51843000_51916837_+_ENSG00000109184.15_ENSG00000109184.15.unspliced,276,145,1054,2257,4986,protein_coding
DDX1_chr2_15591178_15634346_+_ENSG00000079785.16_ENSG00000079785.16.unspliced,450,273,204,1633,1507,protein_coding
DDX39B_chr6_31530219_31542448_-_ENSG00000198563.14_ENSG00000198563.14.unspliced,522,378,516,717,1200,protein_coding
DDX3X_chrX_41333348_41364472_+_ENSG00000215301.11_ENSG00000215301.11.unspliced,331,894,274,1794,3579,protein_coding
DDX46_chr5_134758771_134855133_+_ENSG00000145833.16_ENSG00000145833.16.unspliced,1169,930,564,1262,3428,protein_coding
DEK_chr6_18223860_18264548_-_ENSG00000124795.17_ENSG00000124795.17.unspliced,515,524,238,2861,2339,protein_coding
DHX30_chr3_47802909_47850195_+_ENSG00000132153.15_ENSG00000132153.15.unspliced,344,327,558,1315,2375,protein_coding
DHX35_chr20_38962299_39039723_+_ENSG00000101452.15_ENSG00000101452.15.unspliced,339,248,2568,3223,5117,protein_coding
DHX9_chr1_182839347_182887982_+_ENSG00000135829.17_ENSG00000135829.17.unspliced,522,471,547,3036,2224,protein_coding
DIDO1_chr20_62877738_62937952_-_ENSG00000101191.17_ENSG00000101191.17.unspliced,787,1443,976,1949,5077,protein_coding
DKC1_chrX_154762742_154777689_+_ENSG00000130826.19_ENSG00000130826.19.unspliced,329,304,461,248,1814,protein_coding
DLAT_chr11_112025033_112064404_+_ENSG00000150768.18_ENSG00000150768.18.unspliced,379,432,648,842,2463,protein_coding
DMTF1_chr7_87152409_87196337_+_ENSG00000135164.19_ENSG00000135164.19.unspliced,482,339,534,2397,2674,protein_coding
DNA2_chr10_68414064_68472121_-_ENSG00000138346.16_ENSG00000138346.16.unspliced,392,423,581,1677,1059,protein_coding
DNAJB4_chr1_77979175_78017964_+_ENSG00000162616.9_ENSG00000162616.9.unspliced,650,255,1032,1886,1011,protein_coding
DNAJB6_chr7_157335381_157417439_+_ENSG00000105993.15_ENSG00000105993.15.unspliced,1757,1239,1771,3522,7314,protein_coding
DNAJC11_chr1_6634168_6701924_-_ENSG00000007923.17_ENSG00000007923.17.unspliced,412,351,1083,1525,3801,protein_coding
DNAJC1_chr10_21756548_22003769_-_ENSG00000136770.11_ENSG00000136770.11.unspliced,1536,651,3564,10135,15667,protein_coding
DNAJC9_chr10_73183362_73247255_-_ENSG00000213551.7_ENSG00000213551.7.unspliced,132,385,426,1417,1602,protein_coding
DNM2_chr19_10718055_10833488_+_ENSG00000079805.19_ENSG00000079805.19.unspliced,469,1212,2064,3668,3249,protein_coding
DUXAP9_chr14_19062294_19131345_+_ENSG00000293329.2_ENSG00000293329.2.unspliced,1128,274,1064,1856,4755,lncRNA
DYNC1I2_chr2_171687409_171750158_+_ENSG00000077380.16_ENSG00000077380.16.unspliced,399,181,983,2720,2461,protein_coding
ECPAS_chr9_111360685_111484745_-_ENSG00000136813.15_ENSG00000136813.15.unspliced,1325,463,1625,5110,9199,protein_coding
EDEM3_chr1_184690237_184754907_-_ENSG00000116406.20_ENSG00000116406.20.unspliced,775,434,758,2105,2030,protein_coding
EFCAB14_chr1_46674659_46719146_-_ENSG00000159658.15_ENSG00000159658.15.unspliced,263,196,710,1573,3425,protein_coding
EFR3A_chr8_131904093_132013642_+_ENSG00000132294.15_ENSG00000132294.15.unspliced,948,880,1183,2554,6739,protein_coding
EIF2S2_chr20_34088309_34112243_-_ENSG00000125977.7_ENSG00000125977.7.unspliced,257,297,619,902,2592,protein_coding
EIF3B_chr7_2354086_2380745_+_ENSG00000106263.19_ENSG00000106263.19.unspliced,412,426,1090,1343,3145,protein_coding
EIF4G2_chr11_10797050_10808940_-_ENSG00000110321.19_ENSG00000110321.19.unspliced,275,334,239,663,1180,protein_coding
ELAVL1_chr19_7958573_8005659_-_ENSG00000066044.15_ENSG00000066044.15.unspliced,372,1093,1231,2157,2525,protein_coding
ELOVL5_chr6_53267398_53349179_-_ENSG00000012660.14_ENSG00000012660.14.unspliced,1095,535,489,2913,3778,protein_coding
EMC8_chr16_85771758_85799608_-_ENSG00000131148.9_ENSG00000131148.9.unspliced,270,283,204,1333,1136,protein_coding
ENSG00000187951_chr15_30658717_30772993_+_ENSG00000187951.11_ENSG00000187951.11.unspliced,223,169,1515,2705,6138,lncRNA
ENSG00000242588_chr7_128530380_128663479_+_ENSG00000242588.8_ENSG00000242588.8.unspliced,699,569,2150,3335,5714,lncRNA
ENSG00000250075_chr4_67417305_67468251_-_ENSG00000250075.8_ENSG00000250075.8.unspliced,383,193,720,1778,1784,lncRNA
ENSG00000254639_chr11_46237246_46244154_+_ENSG00000254639.2_ENSG00000254639.2.unspliced,137,378,212,163,254,lncRNA
ENSG00000258674_chr19_19516227_19536076_+_ENSG00000258674.5_ENSG00000258674.5.unspliced,297,351,241,164,580,protein_coding
ENSG00000260289_chr16_7878799_8112756_-_ENSG00000260289.2_ENSG00000260289.2.unspliced,2130,809,2221,11506,11956,lncRNA
ENSG00000271793_chr6_85504776_85678733_-_ENSG00000271793.2_ENSG00000271793.2.unspliced,1122,1155,1482,3227,8706,protein_coding
ENSG00000279583_chr16_29543201_29613723_-_ENSG00000279583.2_ENSG00000279583.2.unspliced,439,499,729,2006,4204,lncRNA
ENSG00000282024_chr6_16259048_16267769_-_ENSG00000282024.2_ENSG00000282024.2.unspliced,295,60,1736,1761,739,lncRNA
ENSG00000283317_chr1_161433444_161440996_-_ENSG00000283317.1_ENSG00000283317.1.unspliced,279,304,519,375,1352,lncRNA
ENSG00000285822_chr17_27089545_27170310_+_ENSG00000285822.1_ENSG00000285822.1.unspliced,337,213,1033,3189,5447,lncRNA
ENSG00000286235_chr20_5950949_6039856_+_ENSG00000286235.1_ENSG00000286235.1.unspliced,669,177,1023,2952,3241,protein_coding
ENSG00000288640_chr7_112450460_112490941_+_ENSG00000288640.1_ENSG00000288640.1.unspliced,306,304,213,588,1572,protein_coding
ENSG00000289245_chrX_49127482_49156324_-_ENSG00000289245.3_ENSG00000289245.3.unspliced,609,479,1705,198,1316,lncRNA
ENSG00000289405_chr8_134715820_134832014_-_ENSG00000289405.3_ENSG00000289405.3.unspliced,231,205,2485,2833,4393,lncRNA
ENSG00000289605_chr12_91276222_91634239_-_ENSG00000289605.2_ENSG00000289605.2.unspliced,1513,586,5443,12221,11617,lncRNA
ENSG00000289750_chr3_15048548_15099145_-_ENSG00000289750.1_ENSG00000289750.1.unspliced,393,313,970,2228,3418,lncRNA
ENSG00000290548_chr5_34051309_34244861_-_ENSG00000290548.2_ENSG00000290548.2.unspliced,1936,772,1414,8264,11009,lncRNA
ENSG00000290945_chr15_82355047_82421820_+_ENSG00000290945.2_ENSG00000290945.2.unspliced,965,274,223,2796,7397,lncRNA
ENSG00000290948_chr15_82471477_82513986_-_ENSG00000290948.2_ENSG00000290948.2.unspliced,568,445,619,2818,3998,lncRNA
EPHX2_chr8_27490781_27545564_+_ENSG00000120915.14_ENSG00000120915.14.unspliced,137,439,920,1939,2635,protein_coding
EPRS1_chr1_219968600_220046530_-_ENSG00000136628.18_ENSG00000136628.18.unspliced,535,358,1020,1757,2567,protein_coding
ERMARD_chr6_169751622_169781600_+_ENSG00000130023.16_ENSG00000130023.16.unspliced,480,580,594,482,1728,protein_coding
ESCO2_chr8_27771949_27812640_+_ENSG00000171320.15_ENSG00000171320.15.unspliced,148,98,265,1706,1277,protein_coding
ETF1_chr5_138506095_138543236_-_ENSG00000120705.13_ENSG00000120705.13.unspliced,272,250,866,2919,2417,protein_coding
EXO1_chr1_241847967_241895148_+_ENSG00000174371.17_ENSG00000174371.17.unspliced,626,379,355,1464,2563,protein_coding
EXOG_chr3_38496127_38542161_+_ENSG00000157036.13_ENSG00000157036.13.unspliced,567,441,1427,939,2763,protein_coding
EXOSC7_chr3_44975241_45036066_+_ENSG00000075914.13_ENSG00000075914.13.unspliced,346,689,457,865,2739,protein_coding
FAF1_chr1_50437028_50960267_-_ENSG00000185104.21_ENSG00000185104.21.unspliced,2135,1239,4733,17920,23559,protein_coding
FAM120B_chr6_170290703_170407067_+_ENSG00000112584.14_ENSG00000112584.14.unspliced,908,1094,3844,3824,8876,protein_coding
FAM168B_chr2_131047876_131093460_-_ENSG00000152102.18_ENSG00000152102.18.unspliced,246,306,232,1225,2598,protein_coding
FAM210A_chr18_13663347_13726663_-_ENSG00000177150.13_ENSG00000177150.13.unspliced,281,618,1033,3702,4981,protein_coding
FAM53C_chr5_138331935_138349729_+_ENSG00000120709.11_ENSG00000120709.11.unspliced,254,185,702,982,673,protein_coding
FAM91A1_chr8_123768439_123815452_+_ENSG00000176853.16_ENSG00000176853.16.unspliced,558,256,858,4072,4678,protein_coding
FANCL_chr2_58159243_58241410_-_ENSG00000115392.13_ENSG00000115392.13.unspliced,536,595,964,6078,7908,protein_coding
FARSB_chr2_222566899_222656092_-_ENSG00000116120.11_ENSG00000116120.11.unspliced,933,242,1564,3532,3782,protein_coding
FBXO22_chr15_75903876_75942511_+_ENSG00000167196.14_ENSG00000167196.14.unspliced,495,350,522,2043,2426,protein_coding
FLJ46284_chr8_92674978_92879502_-_ENSG00000248858.8_ENSG00000248858.8.unspliced,1335,126,2717,5450,7487,lncRNA
FLNA_chrX_154348524_154374634_-_ENSG00000196924.19_ENSG00000196924.19.unspliced,805,1048,244,673,1948,protein_coding
FMC1-LUC7L2_chr7_139341360_139422599_+_ENSG00000269955.2_ENSG00000269955.2.unspliced,1224,1158,777,2326,2475,protein_coding
FMR1_chrX_147911919_147951125_+_ENSG00000102081.16_ENSG00000102081.16.unspliced,666,368,530,4651,1652,protein_coding
FOXJ3_chr1_42176539_42335877_-_ENSG00000198815.9_ENSG00000198815.9.unspliced,708,645,3774,8863,10351,protein_coding
FOXK2_chr17_82519713_82644662_+_ENSG00000141568.21_ENSG00000141568.21.unspliced,1154,1176,3082,3638,7349,protein_coding
FUS_chr16_31180138_31196963_+_ENSG00000089280.20_ENSG00000089280.20.unspliced,619,697,433,2340,2836,protein_coding
G2E3_chr14_30559158_30620064_+_ENSG00000092140.16_ENSG00000092140.16.unspliced,547,383,891,3633,2309,protein_coding
G6PD_chrX_154517825_154547572_-_ENSG00000160211.20_ENSG00000160211.20.unspliced,197,253,726,343,1766,protein_coding
GABPA_chr21_25734570_25772460_+_ENSG00000154727.11_ENSG00000154727.11.unspliced,546,556,893,1033,2772,protein_coding
GAK_chr4_849276_932373_-_ENSG00000178950.18_ENSG00000178950.18.unspliced,1935,2105,5492,5722,13666,protein_coding
GALNT12_chr9_98807670_98850081_+_ENSG00000119514.7_ENSG00000119514.7.unspliced,276,186,1000,1937,3087,protein_coding
